penalty,n_items,items_code,items_label,mae,hi_missed_pct,kappa,n_scored,mae_vs_a1,a1_mae_ref,a0_miss_pct_ref,champion,pass,score,rank
EN,14,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0110A,ADL0112A,ADL0115A,ADL0116A,ADL0116B,ADL0117A,Q18,ADL0122Q","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q10설거지,Q12집안일,Q15외출,Q16a쇼핑,Q16b지불,Q17금전,Q18혼자있기,Q22취미",0.5395,14.98,0.5681,2163,0.0492,0.5887,17.75,True,True,0.8801848427066561,15
L2,12,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0107A,ADL0115A,ADL0116A,ADL0116B,ADL0117A,ADL0122Q","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑,Q16b지불,Q17금전,Q22취미",0.5708,14.04,0.5495,2190,0.018,0.5887,17.75,True,True,0.880289968108293,16
EN,13,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0110A,ADL0112A,ADL0115A,ADL0116A,ADL0116B,Q18,ADL0122Q","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q10설거지,Q12집안일,Q15외출,Q16a쇼핑,Q16b지불,Q18혼자있기,Q22취미",0.54,14.98,0.569,2165,0.0488,0.5887,17.75,True,True,0.8806095072216893,17
EN,12,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0107A,ADL0110A,ADL0114A,ADL0115A,ADL0116A,ADL0117A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q7전화,Q10설거지,Q14가전,Q15외출,Q16a쇼핑,Q17금전",0.5713,14.04,0.5434,2188,0.0174,0.5887,17.75,True,True,0.8807146326233262,18
L2,12,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0107A,ADL0115A,ADL0116A,ADL0116B,ADL0122Q","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑,Q16b지불,Q22취미",0.5716,14.04,0.5471,2192,0.0171,0.5887,17.75,True,True,0.880969431332346,19
EN,11,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A,ADL0117A,Q18","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기",0.532,15.28,0.5673,2173,0.0568,0.5887,17.75,True,True,0.8822655792065114,20
EN,12,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0107A,ADL0113A,ADL0115A,ADL0116A,ADL0117A,Q18","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q7전화,Q13빨래,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기",0.5325,15.28,0.566,2167,0.0562,0.5887,17.75,True,True,0.8826902437215445,21
EN,11,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0107A,ADL0113A,ADL0115A,ADL0116A,Q18","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q7전화,Q13빨래,Q15외출,Q16a쇼핑,Q18혼자있기",0.533,15.28,0.5663,2169,0.0558,0.5887,17.75,True,True,0.8831149082365777,22
EN,13,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0110A,ADL0114A,ADL0115A,ADL0116A,ADL0117A,Q18","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q10설거지,Q14가전,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기",0.5332,15.28,0.5677,2168,0.0555,0.5887,17.75,True,True,0.8832847740425909,23
EN,10,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A,ADL0117A,Q18","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기",0.5334,15.28,0.566,2173,0.0554,0.5887,17.75,True,True,0.8834546398486041,24
EN,12,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0107A,ADL0110A,ADL0113A,ADL0115A,ADL0116A,Q18","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q7전화,Q10설거지,Q13빨래,Q15외출,Q16a쇼핑,Q18혼자있기",0.5335,15.28,0.5633,2165,0.0553,0.5887,17.75,True,True,0.8835395727516107,25
EN,9,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A,Q18","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑,Q18혼자있기",0.5338,15.28,0.5667,2175,0.0549,0.5887,17.75,True,True,0.8837943714606307,26
EN,12,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0107A,ADL0113A,ADL0115A,ADL0116A,Q18","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q7전화,Q13빨래,Q15외출,Q16a쇼핑,Q18혼자있기",0.5339,15.28,0.5687,2169,0.0549,0.5887,17.75,True,True,0.8838793043636373,27
EN,13,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0107A,ADL0113A,ADL0115A,ADL0116A,ADL0117A,Q18","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q7전화,Q13빨래,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기",0.5344,15.28,0.5683,2167,0.0544,0.5887,17.75,True,True,0.8843039688786704,28
EN,13,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0107A,ADL0110A,ADL0113A,ADL0115A,ADL0116A,ADL0117A,Q18","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q7전화,Q10설거지,Q13빨래,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기",0.5344,15.28,0.5631,2163,0.0543,0.5887,17.75,True,True,0.8843039688786704,29
EN,13,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0107A,ADL0110A,ADL0113A,ADL0115A,ADL0116A,Q18","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q7전화,Q10설거지,Q13빨래,Q15외출,Q16a쇼핑,Q18혼자있기",0.5344,15.28,0.5635,2165,0.0543,0.5887,17.75,True,True,0.8843039688786704,30
EN,13,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0110A,ADL0112A,ADL0115A,ADL0116A,ADL0116B,ADL0117A,Q18,ADL0122Q","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q10설거지,Q12집안일,Q15외출,Q16a쇼핑,Q16b지불,Q17금전,Q18혼자있기,Q22취미",0.5446,14.98,0.5681,2163,0.0441,0.5887,17.75,True,True,0.884516420759994,31
L2,12,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0113A,ADL0115A,ADL0116A,ADL0117A,Q18,ADL0122Q","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q13빨래,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기,Q22취미",0.512,15.97,0.5821,2164,0.0767,0.5887,17.75,True,True,0.8847156183234963,32
L2,11,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0115A,ADL0116A,ADL0116B,ADL0117A,ADL0122Q,ADL0123L","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q15외출,Q16a쇼핑,Q16b지불,Q17금전,Q22취미,Q23가전사용",0.5421,15.07,0.5644,2186,0.0467,0.5887,17.75,True,True,0.8849283094524341,33
