n_items,mae,exact_acc_pct,within1_acc_pct
5,0.6082614616432138,50.93054925102134,89.1057648660917
6,0.6118928733545166,49.931911030413076,89.60508397639583
7,0.548797094870631,54.33499773036768,91.4207898320472
8,0.5469813890149796,54.42578302315025,91.4661824784385
9,0.5320018157058557,55.37902859736723,91.96550158874263
10,0.5279164775306401,55.832955061280074,91.96550158874263
11,0.5433499773036768,54.51656831593282,91.69314571039492
12,0.5683159328188834,52.83704039945529,90.92147072174308
13,0.5737630503858375,52.65546981389016,90.69450748978666
14,0.5392646391284612,55.152065365410806,91.60236041761235
15,0.5383567862006355,55.152065365410806,91.69314571039492
16,0.5374489332728098,55.19745801180209,91.60236041761235
17,0.5320018157058557,55.56059918293237,91.82932364956878
18,0.5379028597367227,54.970494779845666,91.78393100317749
