item,coef_P(Y>=1),coef_P(Y>=2),coef_P(Y>=3),coef_P(Y>=4),coef_P(Y>=5)
ADL0103,-0.022,0.205,-0.771,-0.864,-1.136
ADL0104,-0.379,-0.625,-0.555,-0.752,-0.333
ADL0105,-0.451,-0.648,-0.55,-0.675,-0.38
ADL0106A,-0.12,-0.111,-0.114,-0.237,0.085
ADL0107A,-0.253,-0.323,-0.168,-0.012,0.0
ADL0110A,-0.051,0.106,0.072,0.069,0.25
ADL0111A,-0.451,-0.427,-0.195,-0.143,0.03
ADL0112A,0.14,-0.129,0.087,-0.051,-0.066
ADL0113A,0.028,-0.109,-0.014,-0.034,0.012
ADL0115A,-0.105,-0.222,-0.856,-0.125,-0.26
ADL0116A,-0.323,-0.358,-0.238,-0.093,-0.054
ADL0117A,-0.741,-0.53,-0.158,0.034,0.11
Q18,-0.095,-0.105,-0.533,-0.146,-0.17
ADL0123L,-0.013,-0.02,-0.096,-0.056,-0.032
(절편),11.663,12.061,10.956,5.547,1.909
