item,coef_P(Y>=1),coef_P(Y>=2),coef_P(Y>=3),coef_P(Y>=4),coef_P(Y>=5)
ADL0101,-0.796,-0.089,-0.381,0.192,0.501
ADL0103,0.043,0.294,-0.769,-0.894,-1.155
ADL0104,-0.328,-0.677,-0.572,-0.772,-0.335
ADL0105,-0.375,-0.635,-0.538,-0.708,-0.386
ADL0106A,-0.115,-0.163,-0.142,-0.256,0.115
ADL0111A,-0.452,-0.426,-0.202,-0.154,0.043
ADL0115A,-0.04,-0.223,-0.857,-0.119,-0.27
ADL0116A,-0.216,-0.328,-0.162,-0.039,-0.026
ADL0116B,-0.691,-0.668,-0.391,-0.391,-0.175
ADL0117A,-0.771,-0.603,-0.187,0.032,0.12
Q18,-0.073,-0.076,-0.526,-0.146,-0.152
(절편),12.971,11.27,11.839,5.112,0.831
