penalty,n_items,items_code,items_label,mae,hi_missed_pct,kappa,n_scored,mae_vs_a1,a1_mae_ref,a0_miss_pct_ref,champion
L2,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0113A,ADL0115A,ADL0116A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q13빨래,Q15외출,Q16a쇼핑",0.5377,17.81,0.5604,2191,0.0511,0.5887,17.75,True
L2,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0114A,ADL0115A,ADL0116A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q14가전,Q15외출,Q16a쇼핑",0.5521,17.12,0.5545,2197,0.0366,0.5887,17.75,True
L2,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0116B","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q16b지불",0.5658,14.73,0.5496,2197,0.023,0.5887,17.75,True
L2,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0117A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q17금전",0.5628,16.78,0.5452,2196,0.0259,0.5887,17.75,True
L2,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,Q18","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q18혼자있기",0.5264,16.67,0.5683,2177,0.0623,0.5887,17.75,True
L2,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0121A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q21글쓰기",0.5415,17.18,0.5613,2183,0.0473,0.5887,17.75,True
L2,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0122Q","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q22취미",0.5399,17.81,0.5618,2195,0.0489,0.5887,17.75,True
L2,8,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0123L","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q23가전사용",0.5389,16.44,0.5626,2197,0.0498,0.5887,17.75,True
L2,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0115A,ADL0116A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q15외출,Q16a쇼핑",0.5478,17.12,0.5573,2198,0.041,0.5887,17.75,True
L2,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0115A,ADL0116A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑",0.5332,16.1,0.5668,2196,0.0555,0.5887,17.75,True
