item,coef_P(Y>=1),coef_P(Y>=2),coef_P(Y>=3),coef_P(Y>=4),coef_P(Y>=5)
ADL0103,-0.003,0.191,-0.732,-0.85,-1.132
ADL0104,-0.375,-0.642,-0.53,-0.767,-0.394
ADL0105,-0.441,-0.666,-0.525,-0.667,-0.364
ADL0106A,-0.127,-0.126,-0.134,-0.238,0.1
ADL0107A,-0.266,-0.329,-0.157,0.002,0.001
ADL0110A,-0.044,0.079,0.086,0.073,0.259
ADL0111A,-0.485,-0.432,-0.208,-0.136,0.041
ADL0112A,0.133,-0.058,0.096,-0.036,-0.027
ADL0113A,0.017,-0.095,-0.022,-0.043,-0.003
ADL0115A,-0.104,-0.238,-0.871,-0.131,-0.266
ADL0116A,-0.346,-0.39,-0.217,-0.093,-0.041
ADL0117A,-0.739,-0.521,-0.162,0.035,0.107
Q18,-0.115,-0.051,-0.536,-0.155,-0.152
ADL0123L,-0.023,0.01,-0.088,-0.065,-0.056
(절편),11.851,11.954,10.695,5.504,1.888
