item,coef_P(Y>=1),coef_P(Y>=2),coef_P(Y>=3),coef_P(Y>=4),coef_P(Y>=5)
ADL0101,-0.822,-0.097,-0.363,0.185,0.534
ADL0103,0.047,0.294,-0.693,-0.876,-1.148
ADL0104,-0.346,-0.679,-0.549,-0.788,-0.407
ADL0105,-0.397,-0.643,-0.5,-0.699,-0.371
ADL0106A,-0.13,-0.169,-0.151,-0.251,0.134
ADL0111A,-0.485,-0.445,-0.207,-0.141,0.055
ADL0115A,-0.037,-0.216,-0.868,-0.125,-0.282
ADL0116A,-0.238,-0.336,-0.138,-0.043,-0.016
ADL0116B,-0.732,-0.688,-0.401,-0.373,-0.146
ADL0117A,-0.751,-0.597,-0.189,0.036,0.118
Q18,-0.096,-0.084,-0.53,-0.155,-0.137
(절편),13.324,11.39,11.428,5.095,0.767
