variant,k,outer_fold,n_items,items_code,items_label,mae,kappa,champion
unmerged,16,AD-1064,16,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0107A,ADL0110A,ADL0111A,ADL0112A,ADL0113A,ADL0114A,ADL0115A,ADL0116B,ADL0117A,Q18,ADL0121A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q7전화,Q10설거지,Q11식사준비,Q12집안일,Q13빨래,Q14가전,Q15외출,Q16b지불,Q17금전,Q18혼자있기,Q21글쓰기",0.5374,0.5669,True
merged,12,AD-1061,12,"ADL0101,ADL0103,ADL0104,ADL0105,Q6,ADL0107A,ADL0110A,ADL0111A,ADL0115A,ADL0116A,Q18,ADL0121A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6옷챙겨입기(6a+6b합산),Q7전화,Q10설거지,Q11식사준비,Q15외출,Q16a쇼핑,Q18혼자있기,Q21글쓰기",0.5379,0.5661,True
merged,12,AD-1063,12,"ADL0101,ADL0103,ADL0104,ADL0105,Q6,ADL0107A,ADL0110A,ADL0112A,ADL0115A,ADL0116A,Q18,ADL0123L","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6옷챙겨입기(6a+6b합산),Q7전화,Q10설거지,Q12집안일,Q15외출,Q16a쇼핑,Q18혼자있기,Q23가전사용",0.5379,0.5661,True
merged,12,AD-1064,12,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0110A,ADL0112A,ADL0113A,ADL0115A,ADL0116A,ADL0117A,ADL0121A,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q10설거지,Q12집안일,Q13빨래,Q15외출,Q16a쇼핑,Q17금전,Q21글쓰기,Q23가전사용",0.5379,0.5661,True
unmerged,18,AD-1061,18,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0110A,ADL0111A,ADL0112A,ADL0115A,ADL0116A,ADL0116B,ADL0117A,Q18,ADL0121A,ADL0122Q,ADL0123L","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q10설거지,Q11식사준비,Q12집안일,Q15외출,Q16a쇼핑,Q16b지불,Q17금전,Q18혼자있기,Q21글쓰기,Q22취미,Q23가전사용",0.5379,0.5662,True
unmerged,18,AD-1063,18,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0107A,ADL0110A,ADL0111A,ADL0112A,ADL0113A,ADL0115A,ADL0116B,ADL0117A,Q18,ADL0121A,ADL0122Q,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q7전화,Q10설거지,Q11식사준비,Q12집안일,Q13빨래,Q15외출,Q16b지불,Q17금전,Q18혼자있기,Q21글쓰기,Q22취미,Q23가전사용",0.5379,0.5662,True
unmerged,18,AD-1064,18,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0107A,ADL0110A,ADL0111A,ADL0112A,ADL0114A,ADL0115A,ADL0116A,ADL0117A,Q18,ADL0122Q,ADL0123L","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q7전화,Q10설거지,Q11식사준비,Q12집안일,Q14가전,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기,Q22취미,Q23가전사용",0.5379,0.5662,True
merged,16,AD-1061,16,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,Q6,ADL0107A,ADL0111A,ADL0115A,ADL0116A,ADL0116B,ADL0117A,Q18,ADL0121A,ADL0122Q,ADL0123L","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6옷챙겨입기(6a+6b합산),Q7전화,Q11식사준비,Q15외출,Q16a쇼핑,Q16b지불,Q17금전,Q18혼자있기,Q21글쓰기,Q22취미,Q23가전사용",0.5384,0.566,True
merged,16,AD-1063,16,"ADL0102,ADL0103,ADL0104,ADL0105,Q6,ADL0107A,ADL0110A,ADL0111A,ADL0112A,ADL0115A,ADL0116B,ADL0117A,Q18,ADL0121A,ADL0122Q,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6옷챙겨입기(6a+6b합산),Q7전화,Q10설거지,Q11식사준비,Q12집안일,Q15외출,Q16b지불,Q17금전,Q18혼자있기,Q21글쓰기,Q22취미,Q23가전사용",0.5384,0.566,True
merged,16,AD-1064,16,"ADL0101,ADL0103,ADL0104,ADL0105,Q6,ADL0110A,ADL0111A,ADL0112A,ADL0114A,ADL0115A,ADL0116A,ADL0117A,Q18,ADL0121A,ADL0122Q,ADL0123L","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6옷챙겨입기(6a+6b합산),Q10설거지,Q11식사준비,Q12집안일,Q14가전,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기,Q21글쓰기,Q22취미,Q23가전사용",0.5384,0.566,True
