k,in_mae,in_miss,score,ex_mae,ex_miss,in_rank
12,0.5161143894689061,20.13651877133106,1.0056268904572683,0.5178571428571429,17.97752808988764,85.5
10,0.5142986836132547,19.453924914675767,0.9848541011802383,0.5028571428571429,16.853932584269664,56.0
9,0.5142986836132547,17.064846416382252,0.917546408872546,0.5135714285714286,17.97752808988764,1.0
13,0.5161143894689061,20.477815699658702,1.0152422750726529,0.5007142857142857,17.415730337078653,102.0
10,0.5161143894689061,20.13651877133106,1.0056268904572683,0.5,17.415730337078653,85.5
9,0.5165683159328189,19.112627986348123,0.9771662416226796,0.5128571428571429,17.97752808988764,44.5
9,0.5093054925102134,19.112627986348123,0.9709981614376372,0.5192857142857142,18.53932584269663,35.0
8,0.5242850658193373,19.795221843003414,1.0029505960500564,0.5178571428571429,18.53932584269663,79.0
7,0.5170222423967318,18.43003412969283,0.9583209774034754,0.5221428571428571,17.97752808988764,15.0
14,0.5201997276441217,20.13651877133106,1.0090964355613545,0.5121428571428571,17.415730337078653,92.5
9,0.5215615070358602,20.477815699658702,1.0198683352114346,0.5057142857142857,17.97752808988764,113.5
12,0.5061280072628235,18.43003412969283,0.9490688571259118,0.5035714285714286,17.97752808988764,8.0
13,0.507489786654562,18.771331058020476,0.9598407567759919,0.5164285714285715,17.97752808988764,18.0
12,0.5197458011802089,20.477815699658702,1.018326315165174,0.5142857142857142,17.97752808988764,107.5
14,0.5201997276441217,20.477815699658702,1.0187118201767391,0.5142857142857142,17.97752808988764,110.0
9,0.5156604630049932,19.112627986348123,0.9763952315995492,0.5185714285714286,19.662921348314608,43.0
13,0.5215615070358602,19.453924914675767,0.9910221813652809,0.5135714285714286,17.415730337078653,67.0
13,0.5156604630049932,18.771331058020476,0.9667798469841646,0.5164285714285715,17.97752808988764,29.0
9,0.5215615070358602,19.453924914675767,0.9910221813652809,0.5278571428571428,18.53932584269663,67.0
14,0.5111211983658648,20.819112627986346,1.0206171045608208,0.5121428571428571,17.97752808988764,115.0
14,0.5102133454380391,20.13651877133106,1.0006153253069212,0.5128571428571429,17.415730337078653,75.0
7,0.5201997276441217,18.43003412969283,0.9610195124844314,0.5157142857142857,19.101123595505616,23.0
10,0.525192918747163,18.43003412969283,0.9652600676116481,0.5178571428571429,18.53932584269663,26.0
10,0.5247389922832502,18.771331058020476,0.9744899472154677,0.5221428571428571,17.97752808988764,39.0
12,0.5238311393554245,20.477815699658702,1.0217958602692603,0.51,17.97752808988764,117.0
11,0.5097594189741262,19.112627986348123,0.9713836664492024,0.5121428571428571,18.53932584269663,36.5
11,0.5147526100771675,21.160409556313994,1.0333165292687267,0.5114285714285715,17.97752808988764,123.5
13,0.507489786654562,18.43003412969283,0.9502253721606073,0.5042857142857143,18.53932584269663,9.0
12,0.5138447571493419,20.477815699658702,1.013314750014827,0.5142857142857142,17.415730337078653,100.0
13,0.5161143894689061,22.525597269624573,1.0729345827649606,0.5064285714285715,17.415730337078653,130.0
14,0.5165683159328189,21.160409556313994,1.0348585493149873,0.5035714285714286,17.415730337078653,127.0
9,0.5197458011802089,19.112627986348123,0.9798647767036356,0.5114285714285715,18.53932584269663,50.0
12,0.5201997276441217,19.453924914675767,0.9898656663305854,0.5085714285714286,17.415730337078653,62.5
7,0.5165683159328189,20.477815699658702,1.015627780084218,0.5207142857142857,19.101123595505616,103.0
9,0.5165683159328189,19.112627986348123,0.9771662416226796,0.51,17.415730337078653,44.5
8,0.5147526100771675,20.13651877133106,1.0044703754225728,0.5085714285714286,17.415730337078653,82.0
11,0.5224693599636859,20.13651877133106,1.0110239606191804,0.5185714285714286,17.415730337078653,96.0
11,0.519291874716296,20.13651877133106,1.0083254255382244,0.5285714285714286,19.662921348314608,90.0
13,0.519291874716296,20.477815699658702,1.017940810153609,0.5185714285714286,17.415730337078653,106.0
11,0.5242850658193373,19.795221843003414,1.0029505960500564,0.5078571428571429,18.53932584269663,79.0
9,0.5129369042215162,19.453924914675767,0.9836975861455429,0.5078571428571429,17.97752808988764,53.0
12,0.5220154334997731,19.453924914675767,0.991407686376846,0.5214285714285715,18.53932584269663,69.0
11,0.5138447571493419,17.4061433447099,0.9267762884763657,0.51,18.53932584269663,3.0
7,0.5188379482523832,19.112627986348123,0.9790937666805053,0.5128571428571429,18.53932584269663,48.0
9,0.5197458011802089,17.4061433447099,0.9317878536267126,0.5142857142857142,19.101123595505616,4.0
14,0.5093054925102134,19.453924914675767,0.9806135460530218,0.515,17.415730337078653,51.0
12,0.5152065365410804,19.112627986348123,0.9760097265879841,0.51,17.415730337078653,42.0
12,0.5206536541080345,19.453924914675767,0.9902511713421505,0.5192857142857142,17.415730337078653,64.5
10,0.5215615070358602,20.477815699658702,1.0198683352114346,0.5164285714285715,17.97752808988764,113.5
9,0.5183840217884703,19.453924914675767,0.9883236462843248,0.505,17.415730337078653,60.5
14,0.5079437131184749,18.771331058020476,0.9602262617875571,0.5042857142857143,17.97752808988764,19.5
7,0.5174761688606446,19.112627986348123,0.9779372516458098,0.5171428571428571,19.101123595505616,46.0
7,0.5201997276441217,19.795221843003414,0.99948105094597,0.5128571428571429,17.97752808988764,72.0
8,0.5206536541080345,19.795221843003414,0.9998665559575352,0.5028571428571429,17.97752808988764,73.5
8,0.5215615070358602,19.453924914675767,0.9910221813652809,0.52,18.53932584269663,67.0
9,0.5256468452110759,18.43003412969283,0.9656455726232133,0.505,17.97752808988764,27.0
11,0.5206536541080345,19.453924914675767,0.9902511713421505,0.5142857142857142,18.53932584269663,64.5
13,0.5047662278710849,17.4061433447099,0.9190661882450627,0.5157142857142857,17.415730337078653,2.0
11,0.5206536541080345,19.795221843003414,0.9998665559575352,0.5128571428571429,17.97752808988764,73.5
9,0.5161143894689061,18.43003412969283,0.9575499673803451,0.5207142857142857,17.97752808988764,14.0
12,0.5147526100771675,19.112627986348123,0.9756242215764189,0.5071428571428571,17.97752808988764,41.0
14,0.5161143894689061,19.453924914675767,0.986396121226499,0.5214285714285715,17.97752808988764,58.0
11,0.53109396277803,20.13651877133106,1.0183485558389183,0.5228571428571429,19.101123595505616,109.0
7,0.5220154334997731,20.13651877133106,1.0106384556076153,0.5214285714285715,19.662921348314608,94.0
13,0.513390830685429,19.453924914675767,0.9840830911571081,0.5078571428571429,16.853932584269664,54.0
7,0.5156604630049932,18.088737201365188,0.9475490777533955,0.5271428571428571,18.53932584269663,6.0
13,0.5047662278710849,20.477815699658702,1.005604649783524,0.5035714285714286,17.97752808988764,84.0
12,0.5170222423967318,18.771331058020476,0.9679363620188601,0.5064285714285715,17.97752808988764,31.0
12,0.5179300953245575,19.112627986348123,0.978322756657375,0.5164285714285715,17.415730337078653,47.0
11,0.5197458011802089,20.477815699658702,1.018326315165174,0.525,18.53932584269663,107.5
9,0.5220154334997731,20.819112627986346,1.0298692248383845,0.5135714285714286,17.97752808988764,121.0
12,0.5079437131184749,18.771331058020476,0.9602262617875571,0.5192857142857142,17.97752808988764,19.5
10,0.5201997276441217,20.13651877133106,1.0090964355613545,0.5107142857142857,17.415730337078653,92.5
7,0.5242850658193373,19.795221843003414,1.0029505960500564,0.52,18.53932584269663,79.0
9,0.5215615070358602,19.795221843003414,1.0006375659806654,0.5071428571428571,17.97752808988764,76.0
11,0.5147526100771675,18.771331058020476,0.9660088369610343,0.5028571428571429,18.53932584269663,28.0
8,0.5279164775306401,18.43003412969283,0.967573097681039,0.5142857142857142,19.101123595505616,30.0
7,0.5201997276441217,19.453924914675767,0.9898656663305854,0.515,17.97752808988764,62.5
14,0.5211075805719474,20.477815699658702,1.0194828301998695,0.5028571428571429,17.97752808988764,112.0
7,0.5342714480254199,20.477815699658702,1.030662475535259,0.5192857142857142,18.53932584269663,122.0
13,0.5183840217884703,19.453924914675767,0.9883236462843248,0.5171428571428571,17.97752808988764,60.5
8,0.5233772128915116,18.088737201365188,0.9541026629500029,0.5214285714285715,18.53932584269663,12.0
13,0.5147526100771675,21.160409556313994,1.0333165292687267,0.5085714285714286,17.97752808988764,123.5
12,0.5215615070358602,18.088737201365188,0.9525606429037423,0.5135714285714286,17.97752808988764,10.0
14,0.5270086246028144,20.819112627986346,1.034109779965601,0.52,17.415730337078653,125.5
13,0.5097594189741262,19.112627986348123,0.9713836664492024,0.5042857142857143,17.415730337078653,36.5
14,0.5183840217884703,20.477815699658702,1.0171698001304785,0.515,17.415730337078653,105.0
13,0.5065819337267363,18.771331058020476,0.9590697467528617,0.5185714285714286,17.97752808988764,16.0
14,0.5111211983658648,20.477815699658702,1.0110017199454362,0.5064285714285715,16.292134831460675,95.0
9,0.5179300953245575,18.43003412969283,0.9590919874266057,0.5114285714285715,18.53932584269663,17.0
8,0.519291874716296,20.13651877133106,1.0083254255382244,0.51,19.101123595505616,90.0
9,0.5220154334997731,21.160409556313994,1.039484609453769,0.505,17.97752808988764,128.0
8,0.5152065365410804,20.13651877133106,1.004855880434138,0.5071428571428571,18.53932584269663,83.0
9,0.5170222423967318,20.13651877133106,1.0063979004803985,0.5121428571428571,17.97752808988764,88.0
10,0.5197458011802089,18.43003412969283,0.9606340074728663,0.5085714285714286,18.53932584269663,22.0
9,0.5138447571493419,19.453924914675767,0.9844685961686732,0.5228571428571429,18.53932584269663,55.0
12,0.5265546981389015,21.501706484641637,1.052955044184805,0.5007142857142857,17.97752808988764,129.0
7,0.5279164775306401,17.747440273037544,0.9483423284502699,0.5135714285714286,18.53932584269663,7.0
14,0.5152065365410804,19.795221843003414,0.9952404958187534,0.5178571428571429,17.415730337078653,71.0
8,0.5247389922832502,20.477815699658702,1.0225668702923907,0.515,17.97752808988764,118.0
9,0.5274625510667272,19.112627986348123,0.9864183619002431,0.5228571428571429,17.97752808988764,59.0
11,0.5197458011802089,20.819112627986346,1.0279416997805586,0.5164285714285715,17.97752808988764,120.0
