item,effect_class1,pval_class1,effect_class2,pval_class2,effect_class3,pval_class3,effect_class4,pval_class4,effect_class5,pval_class5
ADL0115A,0.00406486807100976,0.28770927222321674,0.1090015173280181,9.251137861112325e-10,-0.10616181298153354,9.576649667768327e-17,-0.0033312787135987287,0.40886812954052154,-0.003573293703895586,0.5257296089753756
ADL0105,0.003698623074048571,2.4586897027415762e-09,0.03650535779397318,0.0066212944957025135,-0.0026104953816412646,0.8944152675879661,-0.030954790786983155,0.09213413344543243,-0.006638694699397374,0.4862884873991917
ADL0104,0.006444135936470231,9.986774255559987e-11,0.06170345515803943,0.006313460689009038,-0.038780880868111434,0.017479488794568107,-0.020090039652751135,0.00046126904245741946,-0.009276670573647117,0.5617881580406089
ADL0116A,0.018491222679064705,3.120762947596857e-05,0.025213315535676295,0.13746122465185517,-0.03587888573595793,0.0012776629263451676,-0.007137406576938732,0.18440129846344755,-0.0006882459018443532,0.8975330789583966
ADL0113A,0.0036475688617322935,0.0679305823783288,0.0018440352151160577,0.8113636732388319,-0.0017175528001693863,0.7320216985728176,-0.002448342608945331,0.3842922652402848,-0.0013257086677336272,0.7787366059732759
ADL0106A,0.0019949760137956823,0.4951613648896179,0.01709378856320637,0.011965250201371487,-0.015031444026624152,0.0886161809236753,-0.003806438517859667,0.6944330107309138,-0.00025088203251821817,0.9542787788041803
