multiplier,MAE,weighted_kappa,stage1_n_predicted,stage1_precision,stage1_recall,stage5_n_predicted,stage5_precision,stage5_recall
1.0,0.3808876811594203,0.5692022238978889,0,,0.0,4,1.0,0.0412371134020618
3.0,0.396286231884058,0.5876009799356157,34,0.088235294117647,0.0357142857142857,23,0.6521739130434783,0.1546391752577319
6.0,0.4202898550724637,0.5974479587669909,86,0.127906976744186,0.1309523809523809,40,0.525,0.2164948453608247
10.0,0.4556159420289855,0.5920585047736253,154,0.1168831168831168,0.2142857142857142,59,0.423728813559322,0.2577319587628865
