model,n,mae,kappa,under2,hi_missed,mae_drop_vs_A1,cond1_pass,cond2_pass,cond3_pass,allpass
Gn,1343,0.454951600893522,0.5841564255502105,0.02084884586746091,0.2392638036809816,0.12137006701414738,True,True,True,True
A1,1343,0.5763216679076694,0.5201660915909234,0.0193596425912137,0.22699386503067484,,,,,
