held_out_trial,n,n_violation,violation_rate,neg_mass_total,neg_mass_per_capita
AD-1061,667,132,0.19790104947526238,0.15209802205336667,0.00022803301657176413
AD-1063,833,143,0.1716686674669868,0.584233913459601,0.0007013612406477803
AD-1064,703,186,0.26458036984352773,0.39083105119376194,0.0005559474412429046
