held_out_STUDYID,n,MAE,weighted_kappa,acc_within_1stage,underest_ge2_rate,top2class_underclassified_rate
AD-1061,668,0.3787425149700599,0.5788270620882783,0.968562874251497,0.02694610778443114,0.5974025974025974
AD-1063,835,0.35568862275449104,0.5685824704982743,0.9556886227544911,0.03473053892215569,0.71875
AD-1064,705,0.4297872340425532,0.5447994502998004,0.9475177304964539,0.04964539007092199,0.6833333333333333
