조건,기준,원 B1,Gn(최종)
1. MAE 감소 ≥0.10,≥0.10,+0.172 ✅,+0.126 ✅
2. 2↑과소 증가 ≤2%p,≤+2%p,+0.8%p ✅,-0.5%p ✅
3. 4·5→≤3 증가 ≤2%p,≤+2%p,+35.2%p ❌,-2.3%p ✅(여유 +4.3%p)
4. ≥2시험 MAE감소,≥2/3,3/3 ✅,3/3 ✅
종합 판정,4조건,미충족,★ 4조건 충족
