held_out_trial,pipeline,tau4,tau5,mae,kappa,hi_missed,under2
AD-1061,raw,0.15,0.525,0.48575712143928035,0.5541529408002046,0.2597402597402597,0.022488755622188907
AD-1061,isotonic,0.15,0.525,0.48575712143928035,0.5541529408002046,0.2597402597402597,0.022488755622188907
AD-1063,raw,0.15,0.5,0.42136854741896757,0.6294192183906165,0.25,0.015606242496998799
AD-1063,isotonic,0.15,0.525,0.4225690276110444,0.627375661245378,0.25,0.015606242496998799
AD-1064,raw,0.125,0.375,0.4864864864864865,0.6031452946420381,0.225,0.02844950213371266
AD-1064,isotonic,0.125,0.375,0.4879089615931721,0.6021570909039569,0.225,0.02844950213371266
