held_out_STUDYID,n,MAE,weighted_kappa,acc_within_1stage,underest_ge2_rate,top2class_underclassified_rate,chosen_min_samples_leaf,chosen_max_features,chosen_sample_fraction
AD-1061,668,0.37574850299401197,0.5879215373495177,0.968562874251497,0.02694610778443114,0.5454545454545454,5,0.33,0.3
AD-1063,835,0.35568862275449104,0.5685824704982743,0.9556886227544911,0.03473053892215569,0.71875,5,,0.3
AD-1064,705,0.4226950354609929,0.5556325932462457,0.9475177304964539,0.04964539007092199,0.6666666666666666,5,0.33,0.3
