item,coef_raw,se_raw,z_raw,p_raw,OR_raw,OR_raw_ci_low,OR_raw_ci_high,sig_raw,coef_per_1SD,se_z,z_z,p_z,OR_per_1SD,OR_per_1SD_ci_low,OR_per_1SD_ci_high,sig_z,mean,std
ADL0115A,-0.4909290982494083,0.052764214500926644,-9.3042055660809,0.0,0.6120574684089349,0.5519228766548596,0.67874400660043,*,-0.5437384054758867,0.058437802019050404,-9.304566337019844,0.0,0.5805737701967781,0.5177428971779295,0.6510295061076693,*,2.8659420289855073,1.1075168972971843
ADL0104,-0.5870791409682935,0.07788573665801599,-7.5376977372129845,4.773959005888173e-14,0.5559487634932913,0.47724027926018536,0.6476381836605488,*,-0.44536574680117585,0.05908305448214861,-7.537960769034697,4.773959005888173e-14,0.6405899394597823,0.5705419767057461,0.7192380005174029,*,2.5253623188405796,0.7585800612359699
Q18,-0.335110638638148,0.04680520932917858,-7.159686783608476,8.08686451136964e-13,0.715258946698903,0.6525621802499805,0.7839794832070172,*,-0.358746001357404,0.05010815697115096,-7.159433175000764,8.100187187665142e-13,0.6985517600186673,0.633206941147583,0.7706399436190708,*,2.229619565217391,1.0705593486759584
ADL0103,-0.7396966871796381,0.12731503794509033,-5.809971069550022,6.248363826344416e-09,0.47725865223752617,0.3718613677326767,0.6125288639806306,*,-0.314858676301555,0.054189265238409716,-5.810351458288109,6.234182503561669e-09,0.729892018020009,0.656344394508691,0.8116811272047313,*,2.89356884057971,0.42562224138597815
ADL0105,-0.43860536235637765,0.08331651177486223,-5.264326998489525,1.407038219269907e-07,0.6449352451410953,0.5477667477514192,0.759340489601903,*,-0.2860139687669605,0.054333361855618066,-5.264058011484645,1.4090995481552682e-07,0.751252121807773,0.6753613770226078,0.835670753054906,*,2.66893115942029,0.6521246899198063
ADL0116B,-0.5117668781979041,0.1314392543537498,-3.893561940183846,9.878296468168735e-05,0.5994355130454518,0.4632966039438893,0.7755786061051775,*,-0.25565747772654024,0.06570932629109429,-3.8907335100952025,9.994164708948539e-05,0.7744071750763165,0.680826513908658,0.8808506433845192,*,0.49094202898550726,0.49991794642831194
ADL0111A,-0.1425213923821083,0.04685980133384594,-3.041442522701602,0.0023544751284205745,0.8671690032831598,0.791071753454732,0.9505864379193006,*,-0.14795280747605943,0.0486481938654674,-3.041280584541552,0.0023557419146189584,0.8624718162034745,0.7840337058091343,0.9487572131578806,*,2.0384963768115942,1.0381595616037023
ADL0117A,-0.14211445404008907,0.050642226299196264,-2.806244204203648,0.005012269036100747,0.8675219594104262,0.7855483911968318,0.9580496357616886,*,-0.14117668705854872,0.050313198265261753,-2.80595732185888,0.005016733638258497,0.8683358744313918,0.7867926330756303,0.9583302628000726,*,1.7155797101449275,0.9934988079144595
ADL0110A,0.1275292833917929,0.053164929215784994,2.3987482965354663,0.016451218749754082,1.1360181342181974,1.023600201470456,1.260782480717246,*,0.1259335256032007,0.0525086389293768,2.3983391718185474,0.016469607198814407,1.1342067700661413,1.0232835190584209,1.2571540275050839,*,2.5095108695652173,0.9876502526810708
ADL0107A,-0.07907116330791589,0.03793355423654468,-2.0844649255602783,0.037117897438275094,0.9239741690471305,0.85776858561273,0.9952897312699922,*,-0.1098218256455006,0.052663058389574864,-2.0853674094104804,0.037035962799300215,0.8959937641857881,0.8081226640105409,0.99341951564094,*,2.729619565217391,1.3882893498970208
